team,capital,latitude,longitude
Mexico,Mexico City,19.4326,-99.1332
South Africa,Pretoria,-25.7479,28.2293
South Korea,Seoul,37.5665,126.9780
Czechia,Prague,50.0755,14.4378
Canada,Ottawa,45.4215,-75.6972
Bosnia-Herzegovina,Sarajevo,43.8563,18.4131
Qatar,Doha,25.2854,51.5310
Switzerland,Bern,46.9480,7.4474
Brazil,Brasília,-15.7975,-47.8919
Morocco,Rabat,33.9716,-6.8498
Haiti,Port-au-Prince,18.5944,-72.3074
Scotland,Edinburgh,55.9533,-3.1883
United States,Washington DC,38.9072,-77.0369
Paraguay,Asunción,-25.2637,-57.5759
Australia,Canberra,-35.2809,149.1300
Türkiye,Ankara,39.9334,32.8597
Germany,Berlin,52.5200,13.4050
Curaçao,Willemstad,12.1224,-68.8824
Ivory Coast,Yamoussoukro,6.8276,-5.2893
Ecuador,Quito,-0.1807,-78.4678
Netherlands,Amsterdam,52.3676,4.9041
Japan,Tokyo,35.6762,139.6503
Sweden,Stockholm,59.3293,18.0686
Tunisia,Tunis,36.8190,10.1658
Belgium,Brussels,50.8503,4.3517
Egypt,Cairo,30.0444,31.2357
Iran,Tehran,35.6892,51.3890
New Zealand,Wellington,-41.2866,174.7756
Spain,Madrid,40.4168,-3.7038
Cape Verde,Praia,14.9305,-23.5133
Saudi Arabia,Riyadh,24.6877,46.7219
Uruguay,Montevideo,-34.9011,-56.1645
France,Paris,48.8566,2.3522
Senegal,Dakar,14.7645,-17.3660
Iraq,Baghdad,33.3152,44.3661
Norway,Oslo,59.9139,10.7522
Argentina,Buenos Aires,-34.6037,-58.3816
Algeria,Algiers,36.7372,3.0863
Austria,Vienna,48.2082,16.3738
Jordan,Amman,31.9539,35.9106
Portugal,Lisbon,38.7169,-9.1399
Congo DR,Kinshasa,-4.3217,15.3219
Uzbekistan,Tashkent,41.2995,69.2401
Colombia,Bogotá,4.7110,-74.0721
England,London,51.5074,-0.1278
Croatia,Zagreb,45.8150,15.9819
Ghana,Accra,5.6037,-0.1870
Panama,Panama City,8.9936,-79.5197
